DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_SOCIAL_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,ST_VOTO_EM_TRANSITO,QT_VOTOS_NOMINAIS
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,55018,ALCINÓPOLIS,55018,ALCINÓPOLIS,12,11,Prefeito,120000002693,25,DALMY CRISOSTOMO DA SILVA,DALMY,#NULO#,12,APTO,2,DEFERIDO,Coligação,25,DEM,Democratas,120000000190,RENOVAÇÃO TRABALHO E PAZ,DEM / SD / PSB,1,ELEITO,N,1270
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,55018,ALCINÓPOLIS,55018,ALCINÓPOLIS,12,11,Prefeito,120000006527,14,JESUS DE SOUZA REGO,GERSON DO TAXI,#NULO#,12,APTO,2,DEFERIDO,Coligação,14,PTB,Partido Trabalhista Brasileiro,120000000442,"RENOVAÇÃO, ESPERANÇA E FÉ",PTB / PDT,4,NÃO ELEITO,N,71
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,55018,ALCINÓPOLIS,55018,ALCINÓPOLIS,12,11,Prefeito,120000001767,15,ILDOMAR CARNEIRO FERNANDES,ILDOMAR,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,15,PMDB,Partido do Movimento Democrático Brasileiro,120000000126,PARTIDO ISOLADO,PMDB,4,NÃO ELEITO,N,790
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,55018,ALCINÓPOLIS,55018,ALCINÓPOLIS,12,11,Prefeito,120000002032,45,NECIVALDO PEREIRA,NEY PEREIRA,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,120000000152,NOVO TEMPO,PSDB / PP / PR,4,NÃO ELEITO,N,847
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,55018,ALCINÓPOLIS,55018,ALCINÓPOLIS,12,13,Vereador,120000002042,22122,ONILZA MATIAS DE SOUSA,0NILZA DO ADILEU,#NULO#,12,APTO,2,DEFERIDO,Coligação,22,PR,Partido da República,120000000152,NOVO TEMPO,PSDB / PP / PR,5,SUPLENTE,N,95
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,55018,ALCINÓPOLIS,55018,ALCINÓPOLIS,12,13,Vereador,120000002048,22111,ADALTO BORGES TELES,ADALTO PEDREIRO,#NULO#,12,APTO,2,DEFERIDO,Coligação,22,PR,Partido da República,120000000152,NOVO TEMPO,PSDB / PP / PR,5,SUPLENTE,N,88
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,55018,ALCINÓPOLIS,55018,ALCINÓPOLIS,12,13,Vereador,120000006535,12345,ALCINO FERNANDES CARNEIRO,ALCINO CARNEIRO,#NULO#,12,APTO,2,DEFERIDO,Coligação,12,PDT,Partido Democrático Trabalhista,120000000442,"RENOVAÇÃO, ESPERANÇA E FÉ",PTB / PDT,4,NÃO ELEITO,N,80
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,55018,ALCINÓPOLIS,55018,ALCINÓPOLIS,12,13,Vereador,120000001760,15888,ALCIR GONÇALVES DIAS,ALCIR DO ESCRITÓRIO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,15,PMDB,Partido do Movimento Democrático Brasileiro,120000000126,PARTIDO ISOLADO,PMDB,2,ELEITO POR QP,N,139
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,55018,ALCINÓPOLIS,55018,ALCINÓPOLIS,12,13,Vereador,120000001766,15555,ALDO DE OLIVEIRA,ALDO DE OLIVEIRA,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,15,PMDB,Partido do Movimento Democrático Brasileiro,120000000126,PARTIDO ISOLADO,PMDB,5,SUPLENTE,N,94
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,55018,ALCINÓPOLIS,55018,ALCINÓPOLIS,12,13,Vereador,120000002050,45000,ALINE SOUZA SANTOS,ALINE,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,120000000152,NOVO TEMPO,PSDB / PP / PR,5,SUPLENTE,N,0
