DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_SOCIAL_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,ST_VOTO_EM_TRANSITO,QT_VOTOS_NOMINAIS
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,11,Prefeito,200000010516,15,ISAIAS DE MEDEIROS CABRAL,ISAIAS CABRAL,#NULO#,12,APTO,2,DEFERIDO,Coligação,15,PMDB,Partido do Movimento Democrático Brasileiro,200000000829,COLIGAÇÃO FORÇA DO TRABALHO,PMDB / DEM / PROS / PC do B / SD / PSB,1,ELEITO,N,4123
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,11,Prefeito,200000010449,22,JOSE VIJANIO DANTAS FILHO,VIJÂNIO FILHO,#NULO#,12,APTO,2,DEFERIDO,Coligação,22,PR,Partido da República,200000000826,UNIÃO E CORAGEM JUNTOS POR ACARI,PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS,4,NÃO ELEITO,N,3742
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010451,55555,ALBERVANIA SILVA DE MEDEIROS COSTA,ALBERVÂNIA MEDEIROS,#NULO#,12,APTO,2,DEFERIDO,Coligação,55,PSD,Partido Social Democrático,200000000826,UNIÃO E CORAGEM JUNTOS POR ACARI,PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS,2,ELEITO POR QP,N,595
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010462,51555,ARACELLI SHENIA MARQUES,ARACELLI MARQUES,#NULO#,12,APTO,2,DEFERIDO,Coligação,51,PEN,Partido Ecológico Nacional,200000000826,UNIÃO E CORAGEM JUNTOS POR ACARI,PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS,5,SUPLENTE,N,45
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010526,15000,JOSE ARI BEZERRA DANTAS,ARI,#NULO#,12,APTO,2,DEFERIDO,Coligação,15,PMDB,Partido do Movimento Democrático Brasileiro,200000000829,COLIGAÇÃO FORÇA DO TRABALHO,PMDB / DEM / PROS / PC do B / SD / PSB,2,ELEITO POR QP,N,934
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010514,51111,ARMANDO ETELVINO DE MEDEIROS,ARMANDO SECRETÁRIO,#NULO#,12,APTO,2,DEFERIDO,Coligação,51,PEN,Partido Ecológico Nacional,200000000826,UNIÃO E CORAGEM JUNTOS POR ACARI,PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS,2,ELEITO POR QP,N,577
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010519,15123,JOSE RIVALDO LIMA,BADA,#NULO#,12,APTO,2,DEFERIDO,Coligação,15,PMDB,Partido do Movimento Democrático Brasileiro,200000000829,COLIGAÇÃO FORÇA DO TRABALHO,PMDB / DEM / PROS / PC do B / SD / PSB,3,ELEITO POR MÉDIA,N,410
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010452,45000,CARLOS ALBERTO SILVA,CARLINHO DE DAMIÃO,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,200000000826,UNIÃO E CORAGEM JUNTOS POR ACARI,PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS,5,SUPLENTE,N,82
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010453,13222,COSME NOBERTO,COSME NOBERTO,#NULO#,12,APTO,2,DEFERIDO,Coligação,13,PT,Partido dos Trabalhadores,200000000826,UNIÃO E CORAGEM JUNTOS POR ACARI,PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS,5,SUPLENTE,N,147
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010528,90999,FELIPE DANTAS BEZERRA,FELIPE BALAH,#NULO#,12,APTO,2,DEFERIDO,Coligação,90,PROS,Partido Republicano da Ordem Social,200000000829,COLIGAÇÃO FORÇA DO TRABALHO,PMDB / DEM / PROS / PC do B / SD / PSB,2,ELEITO POR QP,N,490
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010517,15222,GIRLENE EDSON DE OLIVEIRA AMARO,GIRLENE EDSON,#NULO#,12,APTO,2,DEFERIDO,Coligação,15,PMDB,Partido do Movimento Democrático Brasileiro,200000000829,COLIGAÇÃO FORÇA DO TRABALHO,PMDB / DEM / PROS / PC do B / SD / PSB,2,ELEITO POR QP,N,627
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010522,25555,ANTONIO PEREIRA DA SILVA,IRMAO TOINHO,#NULO#,12,APTO,2,DEFERIDO,Coligação,25,DEM,Democratas,200000000829,COLIGAÇÃO FORÇA DO TRABALHO,PMDB / DEM / PROS / PC do B / SD / PSB,5,SUPLENTE,N,48
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010456,55000,JAILSON PEREIRA,JAILSON PEREIRA,#NULO#,12,APTO,2,DEFERIDO,Coligação,55,PSD,Partido Social Democrático,200000000826,UNIÃO E CORAGEM JUNTOS POR ACARI,PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS,5,SUPLENTE,N,23
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010520,77000,JOAO MARIA SOBRINHO DE MEDEIROS,JOAO DE GETULIO,#NULO#,12,APTO,2,DEFERIDO,Coligação,77,SD,Solidariedade,200000000829,COLIGAÇÃO FORÇA DO TRABALHO,PMDB / DEM / PROS / PC do B / SD / PSB,5,SUPLENTE,N,37
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010463,55123,FRANCILEIDE DA SILVA DIOGO,LEIDINHA DE ANDINHO,#NULO#,12,APTO,2,DEFERIDO,Coligação,55,PSD,Partido Social Democrático,200000000826,UNIÃO E CORAGEM JUNTOS POR ACARI,PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS,5,SUPLENTE,N,14
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010457,22333,LEONARDO FERREIRA DE AZEVEDO,LEÓ,#NULO#,12,APTO,2,DEFERIDO,Coligação,22,PR,Partido da República,200000000826,UNIÃO E CORAGEM JUNTOS POR ACARI,PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS,2,ELEITO POR QP,N,476
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010523,77777,MARIA DA GUIA DOS SANTOS,MARIA DA GUIA / MARIZINHA,#NULO#,12,APTO,2,DEFERIDO,Coligação,77,SD,Solidariedade,200000000829,COLIGAÇÃO FORÇA DO TRABALHO,PMDB / DEM / PROS / PC do B / SD / PSB,5,SUPLENTE,N,72
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010527,15666,MARINEIDE ALVES DANTAS,MARINEIDE DE TEREZINHA,#NULO#,12,APTO,2,DEFERIDO,Coligação,15,PMDB,Partido do Movimento Democrático Brasileiro,200000000829,COLIGAÇÃO FORÇA DO TRABALHO,PMDB / DEM / PROS / PC do B / SD / PSB,2,ELEITO POR QP,N,542
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010459,22233,XIZANIA BRITO DE ARAUJO AZEVEDO,NANÃ DE LEÓ,#NULO#,12,APTO,2,DEFERIDO,Coligação,22,PR,Partido da República,200000000826,UNIÃO E CORAGEM JUNTOS POR ACARI,PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS,5,SUPLENTE,N,1
28/05/2021,16:59:29,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,RN,16012,ACARI,16012,ACARI,22,13,Vereador,200000010521,65123,FRANCISCO DE ASSIS DA SILVA,NOVINHO DO BREGA,#NULO#,12,APTO,2,DEFERIDO,Coligação,65,PC do B,Partido Comunista do Brasil,200000000829,COLIGAÇÃO FORÇA DO TRABALHO,PMDB / DEM / PROS / PC do B / SD / PSB,5,SUPLENTE,N,18
